월,소속,상담원,상담일,고객ID,채널,문의유형,상담시간,처리결과,재문의여부
2025-02,3팀,AG05,2025-02-07,C330,이메일,장애신고,24,완료,False
2025-02,3팀,AG13,2025-02-20,C085,전화,장애신고,16,미해결,False
2025-02,3팀,AG16,2025-02-09,C258,이메일,명의변경,24,완료,False
2025-02,3팀,AG13,2025-02-19,C166,채팅,기타,13,미해결,False
2025-02,3팀,AG10,2025-02-16,C302,채팅,장애신고,24,완료,False
2025-02,3팀,AG19,2025-02-15,C005,전화,장애신고,33,완료,False
2025-02,3팀,AG19,2025-02-20,C114,이메일,장애신고,23,미해결,True
2025-02,3팀,AG07,2025-02-09,C300,전화,해지문의,24,완료,False
2025-02,3팀,AG05,2025-02-05,C285,앱,명의변경,32,완료,False
2025-02,3팀,AG13,2025-02-22,C104,앱,요금문의,32,완료,False
2025-02,3팀,AG07,2025-02-09,C178,채팅,장애신고,19,재문의,True
2025-02,3팀,AG07,2025-02-05,C414,채팅,해지문의,17,재문의,False
2025-02,3팀,AG05,2025-02-18,C171,이메일,해지문의,19,재문의,False
2025-02,3팀,AG07,2025-02-21,C440,채팅,요금문의,13,완료,False
2025-02,3팀,AG05,2025-02-20,C094,이메일,장애신고,16,재문의,True
2025-02,3팀,AG19,2025-02-18,C094,채팅,요금문의,15,완료,False
2025-02,3팀,AG07,2025-02-07,C299,채팅,해지문의,29,재문의,True
2025-02,3팀,AG05,2025-02-14,C490,채팅,해지문의,16,완료,False
2025-02,3팀,AG19,2025-02-10,C471,앱,부가서비스,29,미해결,True
2025-02,3팀,AG05,2025-02-15,C298,채팅,요금문의,7,미해결,True
2025-02,3팀,AG19,2025-02-23,C072,전화,해지문의,16,완료,False
2025-02,3팀,AG19,2025-02-06,C164,전화,명의변경,9,완료,False
2025-02,3팀,AG07,2025-02-12,C490,채팅,요금문의,9,미해결,True
2025-02,3팀,AG13,2025-02-21,C263,채팅,장애신고,16,완료,False
2025-02,3팀,AG05,2025-02-07,C354,채팅,명의변경,10,완료,False
2025-02,3팀,AG07,2025-02-11,C496,채팅,요금문의,13,완료,False
